relative_path	byte_length	sha256
.editorconfig	213	8E608DB783A129601CE441D08BDDE9A05DFF1811F9E5C011681C9A2EEF9E70A5
.gitattributes	425	D51465FDCEDA1AC0EBADAF1ABCA6F5A362F55991C3A29A0269CFFDACD0C230FF
.github/workflows/phase1-governance.yml	2452	DEA8E72C5682CAF67BA0A6395503C38394BD0AB8F635AE29F5F57E6AAE5FF158
.gitignore	530	12031969A664C6EE63537E39FEAD9087C5F62EC9E959ADB33378F0384DAC5B7E
.phase1-verification/docx-visual/analyze_pdf.py	2900	7D3A7F4B3F3E48DFBA9B92770C6A67F0E35E41BCD37636F8846580A979891670
.phase1-verification/docx-visual/contact/contact-01.png	1265625	6C0C44A20795C02794C16C0B92C06353C2BA87E2ED45DC338122156729529452
.phase1-verification/docx-visual/contact/contact-02.png	1392943	1E7F9516CE6F395B897C69C22651067C9064755DE96E541011A884E9A52BC18F
.phase1-verification/docx-visual/contact/contact-03.png	1177350	862232FD73841EFD652F3F3EA6DAD5BE73D14F2E8E08972495A93BB0067ADB8F
.phase1-verification/docx-visual/contact/contact-04.png	1119215	BAC405070C3A56334F41137E971BA87E4670CBE68492DF286E08BF7460A8BF24
.phase1-verification/docx-visual/make_contact_sheets.py	1143	B92C5939C083FA07E33C2CB05E70BA7FA4A4A823A410F8030A2FA12D589C5619
.phase1-verification/docx-visual/pages/page-01.png	102036	ED76FCB4AD284E97ED90389104DA44B787E7B84756362FCD8EDD3861803C9D9D
.phase1-verification/docx-visual/pages/page-02.png	191372	4D41743C69673C82DF1DFAE63DBA4EAFA2EDF66B5C9340F63AA617EF88BD12F5
.phase1-verification/docx-visual/pages/page-03.png	228483	F0234A80210301A1B69640FFEAD50D4FEC529AD863E3BAA687EC90B5EF0F2CE4
.phase1-verification/docx-visual/pages/page-04.png	221451	DBD9A7B44985C3C480B85EBA48E54542BF8C802324C06E11D74EE3C71681AC0E
.phase1-verification/docx-visual/pages/page-05.png	235287	FB1FC0248BCEB6C49F1149151D07B2B0D5FE7C533E05A7E727C5361D9AD06D14
